UUID        = fd2b067e-fbf8-4d99-b0b4-e36e50ae9907
ScanDate    = 20240915_141227
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20460645     PULS   1989 
     20460647     PULS   2003 
     20460649     PULS   2018 
     20460651     PULS   2033 
     20460655     PULS   2062 
     20460657     PULS   2077 
     20460659     PULS   2121 
     20460661     PULS   2136 
     20460663     PULS   2166 
     20460665     PULS   2180 
     20460667     PULS   2210 
     20460669     PULS   2225 
     20460671     PULS   2239 
     20460673     PULS   2269 
     20460675     PULS   2298 
     20460677     PULS   2328 
     20460679     PULS   2343 
     20460681     PULS   2357 
     20460683     PULS   2372 
     20460685     PULS   2372 
     20460687     PULS   2357 
     20460689     PULS   2357 
     20460691     PULS   2357 
     20460693     PULS   2357 
     20460695     PULS   2343 
     20460697     PULS   2357 
     20460699     PULS   2357 
     20460701     PULS   2357 
     20460703     PULS   2372 
     20460705     PULS   2387 
     20460707     PULS   2402 
     20460709     PULS   2402 
     20460711     PULS   2416 
     20460713     PULS   2416 
     20460715     PULS   2416 
     20460717     PULS   2416 
     20460719     PULS   2416 
     20460721     PULS   2416 
     20460723     PULS   2416 
     20460725     PULS   2416 
     20460727     PULS   2416 
     20460729     PULS   2416 
     20460731     PULS   2402 
     20460733     PULS   2372 
     20460735     PULS   2343 
     20460737     PULS   2313 
     20460739     PULS   2284 
     20460741     PULS   2254 
     20460743     PULS   2225 
     20460745     PULS   2195 
     20460747     PULS   2180 
     20460749     PULS   2166 
     20460751     PULS   2151 
     20460753     PULS   2136 
     20460755     PULS   2107 
     20460757     PULS   2107 
     20460759     PULS   2092 
     20460737     PULS   2048  PULS_TRIGGER
     20460761     PULS   2077 
     20460763     PULS   2077 
     20460765     PULS   2092 
     20460767     PULS   2107 
     20460769     PULS   2121 
     20460771     PULS   2121 
     20460773     PULS   2136 
     20460775     PULS   2136 
     20460777     PULS   2151 
     20460779     PULS   2151 
     20460781     PULS   2180 
     20460783     PULS   2195 
     20460785     PULS   2225 
     20460787     PULS   2239 
     20460789     PULS   2239 
     20460791     PULS   2239 
