UUID        = fd9a3a45-96e6-41a9-b8de-f65a3629399f
ScanDate    = 20240915_140321
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20248018     RESP   1466 
     20248026     RESP   1502 
     20248034     RESP   1538 
     20248042     RESP   1574 
     20248050     RESP   1609 
     20248058     RESP   1643 
     20248066     RESP   1678 
     20248074     RESP   1713 
     20248082     RESP   1748 
     20248090     RESP   1785 
     20248098     RESP   1823 
     20248106     RESP   1863 
     20248114     RESP   1904 
     20248122     RESP   1946 
     20248130     RESP   1988 
     20248138     RESP   2030 
     20248146     RESP   2071 
     20248154     RESP   2114 
     20248162     RESP   2155 
     20248170     RESP   2195 
     20248178     RESP   2234 
     20248186     RESP   2270 
     20248194     RESP   2303 
     20248202     RESP   2333 
     20248210     RESP   2360 
     20248218     RESP   2385 
     20248226     RESP   2407 
     20248234     RESP   2426 
     20248242     RESP   2442 
     20248250     RESP   2456 
     20248258     RESP   2466 
     20248266     RESP   2474 
     20248274     RESP   2478 
     20248282     RESP   2481 
     20248290     RESP   2481 
     20248298     RESP   2479 
     20248306     RESP   2475 
     20248314     RESP   2468 
     20248322     RESP   2457 
     20248330     RESP   2445 
     20248338     RESP   2431 
     20248346     RESP   2415 
     20248354     RESP   2399 
     20248362     RESP   2382 
     20248370     RESP   2363 
     20248378     RESP   2344 
     20248386     RESP   2324 
     20248394     RESP   2303 
     20248402     RESP   2280 
     20248410     RESP   2258 
     20248418     RESP   2235 
     20248426     RESP   2213 
     20248434     RESP   2190 
     20248442     RESP   2166 
     20248450     RESP   2141 
     20248458     RESP   2114 
     20248466     RESP   2085 
     20248474     RESP   2056 
     20248482     RESP   2027 
     20248490     RESP   1996 
     20248498     RESP   1964 
     20248506     RESP   1931 
     20248514     RESP   1896 
     20248522     RESP   1860 
     20248530     RESP   1822 
     20248538     RESP   1784 
     20248546     RESP   1744 
     20248554     RESP   1705 
     20248562     RESP   1665 
     20248570     RESP   1625 
     20248578     RESP   1584 
     20248586     RESP   1544 
     20248594     RESP   1504 
     20248602     RESP   1464 
     20248610     RESP   1426 
     20248618     RESP   1387 
     20248626     RESP   1351 
     20248634     RESP   1315 
     20248642     RESP   1281 
     20248650     RESP   1249 
     20248658     RESP   1217 
     20248666     RESP   1187 
     20248674     RESP   1157 
     20248682     RESP   1129 
     20248690     RESP   1102 
     20248698     RESP   1075 
     20248706     RESP   1049 
     20248714     RESP   1024 
     20248722     RESP   1000 
     20248730     RESP    977 
     20248738     RESP    954 
     20248746     RESP    931 
     20248754     RESP    910 
     20248762     RESP    888 
     20248770     RESP    868 
     20248778     RESP    848 
     20248786     RESP    829 
     20248794     RESP    811 
     20248802     RESP    796 
     20248810     RESP    781 
     20248818     RESP    769 
     20248826     RESP    757 
     20248834     RESP    745 
     20248842     RESP    736 
     20248850     RESP    727 
     20248858     RESP    720 
     20248866     RESP    715 
     20248874     RESP    711 
     20248882     RESP    710 
     20248890     RESP    710 
     20248898     RESP    712 
     20248906     RESP    716 
     20248914     RESP    722 
     20248922     RESP    733 
     20248930     RESP    745 
     20248938     RESP    761 
     20248946     RESP    781 
     20248954     RESP    806 
     20248962     RESP    833 
     20248970     RESP    865 
     20248978     RESP    899 
     20248986     RESP    937 
     20248994     RESP    979 
     20249002     RESP   1022 
     20249010     RESP   1067 
     20249018     RESP   1114 
     20249026     RESP   1160 
     20249034     RESP   1208 
     20249042     RESP   1258 
     20249050     RESP   1306 
     20249058     RESP   1354 
     20249066     RESP   1401 
     20249074     RESP   1448 
     20249082     RESP   1493 
     20249090     RESP   1535 
     20249098     RESP   1577 
     20249106     RESP   1617 
     20249114     RESP   1656 
     20249122     RESP   1695 
     20249130     RESP   1732 
     20249138     RESP   1768 
     20249146     RESP   1802 
     20249154     RESP   1835 
     20249162     RESP   1868 
     20249170     RESP   1901 
     20249178     RESP   1933 
     20249186     RESP   1966 
     20249194     RESP   1999 
     20249202     RESP   2033 
     20249210     RESP   2067 
     20249218     RESP   2102 
     20249226     RESP   2136 
     20249234     RESP   2171 
     20249242     RESP   2206 
     20249250     RESP   2240 
     20249258     RESP   2273 
     20249266     RESP   2304 
     20249274     RESP   2334 
     20249282     RESP   2361 
     20249290     RESP   2386 
     20249298     RESP   2406 
     20249306     RESP   2423 
     20249314     RESP   2435 
     20249322     RESP   2443 
     20249330     RESP   2448 
     20249338     RESP   2449 
     20249346     RESP   2446 
     20249354     RESP   2440 
     20249362     RESP   2430 
     20249370     RESP   2417 
     20249378     RESP   2400 
     20249386     RESP   2381 
     20249394     RESP   2360 
     20249402     RESP   2337 
     20249410     RESP   2313 
     20249418     RESP   2288 
     20249426     RESP   2262 
     20249434     RESP   2235 
     20249442     RESP   2207 
     20249450     RESP   2180 
     20249458     RESP   2152 
     20249466     RESP   2124 
     20249474     RESP   2097 
     20249482     RESP   2071 
     20249490     RESP   2047 
     20249498     RESP   2022 
     20249506     RESP   1997 
     20249514     RESP   1972 
     20249522     RESP   1948 
     20249530     RESP   1922 
     20249538     RESP   1898 
     20249546     RESP   1874 
     20249554     RESP   1851 
