UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 64
NumVolumes  = 540
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
   191      60         20809917         20809927     0
   191       3         20809942         20809952     0
   191      19         20809942         20809952     0
   191      35         20809942         20809952     0
   191      51         20809942         20809952     0
   191      10         20809967         20809977     0
   191      26         20809967         20809977     0
   191      42         20809967         20809977     0
   191      58         20809967         20809977     0
   191       1         20809992         20810002     0
   191      17         20809992         20810002     0
   191      33         20809992         20810002     0
   191      49         20809992         20810002     0
   191       8         20810017         20810027     0
   191      24         20810017         20810027     0
   191      40         20810017         20810027     0
   191      56         20810017         20810027     0
   191      15         20810042         20810052     0
   191      31         20810042         20810052     0
   191      47         20810042         20810052     0
   191      63         20810042         20810052     0
   191       6         20810067         20810077     0
   191      22         20810067         20810077     0
   191      38         20810067         20810077     0
   191      54         20810067         20810077     0
   191      13         20810092         20810102     0
   191      29         20810092         20810102     0
   191      45         20810092         20810102     0
   191      61         20810092         20810102     0
   191       4         20810117         20810127     0
   191      20         20810117         20810127     0
   191      36         20810117         20810127     0
   191      52         20810117         20810127     0
   191      11         20810142         20810152     0
   191      27         20810142         20810152     0
   191      43         20810142         20810152     0
   191      59         20810142         20810152     0
   191       2         20810167         20810177     0
   191      18         20810167         20810177     0
   191      34         20810167         20810177     0
   191      50         20810167         20810177     0
   191       9         20810192         20810202     0
   191      25         20810192         20810202     0
   191      41         20810192         20810202     0
   191      57         20810192         20810202     0
   192       0         20810217         20810227     0
   192      16         20810217         20810227     0
   192      32         20810217         20810227     0
   192      48         20810217         20810227     0
   192       7         20810242         20810252     0
   192      23         20810242         20810252     0
   192      39         20810242         20810252     0
   192      55         20810242         20810252     0
   192      14         20810267         20810277     0
   192      30         20810267         20810277     0
   192      46         20810267         20810277     0
   192      62         20810267         20810277     0
   192       5         20810292         20810302     0
   192      21         20810292         20810302     0
   192      37         20810292         20810302     0
   192      53         20810292         20810302     0
   192      12         20810317         20810327     0
   192      28         20810317         20810327     0
   192      44         20810317         20810327     0
   192      60         20810317         20810327     0
   192       3         20810342         20810352     0
   192      19         20810342         20810352     0
   192      35         20810342         20810352     0
   192      51         20810342         20810352     0
   192      10         20810367         20810377     0
   192      26         20810367         20810377     0
   192      42         20810367         20810377     0
   192      58         20810367         20810377     0
   192       1         20810392         20810402     0
   192      17         20810392         20810402     0
   192      33         20810392         20810402     0
   192      49         20810392         20810402     0
   192       8         20810417         20810427     0
   192      24         20810417         20810427     0
   192      40         20810417         20810427     0
   192      56         20810417         20810427     0
   192      15         20810442         20810452     0
   192      31         20810442         20810452     0
   192      47         20810442         20810452     0
   192      63         20810442         20810452     0
   192       6         20810467         20810477     0
   192      22         20810467         20810477     0
   192      38         20810467         20810477     0
   192      54         20810467         20810477     0
   192      13         20810492         20810502     0
   192      29         20810492         20810502     0
   192      45         20810492         20810502     0
   192      61         20810492         20810502     0
   192       4         20810517         20810527     0
   192      20         20810517         20810527     0
   192      36         20810517         20810527     0
   192      52         20810517         20810527     0
   192      11         20810542         20810552     0
   192      27         20810542         20810552     0
   192      43         20810542         20810552     0
   192      59         20810542         20810552     0
   192       2         20810567         20810577     0
   192      18         20810567         20810577     0
   192      34         20810567         20810577     0
   192      50         20810567         20810577     0
   192       9         20810592         20810602     0
   192      25         20810592         20810602     0
   192      41         20810592         20810602     0
   192      57         20810592         20810602     0
