UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20727072     PULS   2107 
     20727074     PULS   2107 
     20727076     PULS   2107 
     20727078     PULS   2121 
     20727080     PULS   2136 
     20727082     PULS   2151 
     20727084     PULS   2151 
     20727086     PULS   2151 
     20727088     PULS   2151 
     20727090     PULS   2151 
     20727092     PULS   2151 
     20727094     PULS   2151 
     20727096     PULS   2136 
     20727098     PULS   2136 
     20727100     PULS   2107 
     20727102     PULS   2092 
     20727104     PULS   2062 
     20727108     PULS   2033 
     20727110     PULS   2033 
     20727112     PULS   2018 
     20727114     PULS   1989 
     20727116     PULS   1974 
     20727118     PULS   1944 
     20727120     PULS   1959 
     20727122     PULS   1959 
     20727124     PULS   1959 
     20727126     PULS   1974 
     20727128     PULS   1989 
     20727130     PULS   1989 
     20727132     PULS   2003 
     20727134     PULS   2003 
     20727136     PULS   2003 
     20727138     PULS   2033 
     20727142     PULS   2062 
     20727144     PULS   2077 
     20727146     PULS   2077 
     20727148     PULS   2092 
     20727150     PULS   2092 
     20727152     PULS   2092 
     20727154     PULS   2092 
     20727156     PULS   2107 
     20727158     PULS   2107 
     20727160     PULS   2121 
     20727162     PULS   2136 
     20727164     PULS   2136 
     20727166     PULS   2136 
     20727168     PULS   2136 
     20727170     PULS   2136 
     20727172     PULS   2136 
     20727174     PULS   2121 
     20727176     PULS   2136 
     20727178     PULS   2121 
     20727180     PULS   2121 
     20727182     PULS   2121 
     20727184     PULS   2092 
     20727186     PULS   2092 
     20727188     PULS   2062 
     20727192     PULS   2018 
     20727194     PULS   2003 
     20727196     PULS   1974 
     20727198     PULS   1959 
     20727200     PULS   1944 
     20727202     PULS   1944 
     20727204     PULS   1915 
     20727206     PULS   1930 
     20727208     PULS   1915 
     20727210     PULS   1930 
     20727212     PULS   1915 
     20727214     PULS   1900 
     20727216     PULS   1900 
     20727218     PULS   1871 
     20727220     PULS   1871 
     20727222     PULS   1871 
     20727224     PULS   1871 
     20727226     PULS   1856 
     20727228     PULS   1871 
     20727230     PULS   1885 
     20727232     PULS   1885 
     20727234     PULS   1915 
     20727236     PULS   1900 
     20727238     PULS   1900 
     20727240     PULS   1900 
     20727242     PULS   1871 
     20727244     PULS   1841 
     20727246     PULS   1812 
     20727248     PULS   1797 
     20727250     PULS   1782 
     20727252     PULS   1767 
     20727254     PULS   1782 
     20727256     PULS   1782 
     20727258     PULS   1797 
     20727260     PULS   1812 
     20727262     PULS   1826 
     20727264     PULS   1826 
     20727266     PULS   1812 
     20727268     PULS   1812 
     20727270     PULS   1797 
     20727272     PULS   1782 
     20727274     PULS   1797 
     20727276     PULS   1797 
     20727278     PULS   1812 
     20727280     PULS   1841 
     20727282     PULS   1871 
     20727284     PULS   1885 
