UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
ScanDate    = 20240915_142332
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     20729520     RESP   1670 
     20729528     RESP   1684 
     20729536     RESP   1699 
     20729544     RESP   1715 
     20729552     RESP   1733 
     20729560     RESP   1754 
     20729568     RESP   1775 
     20729576     RESP   1799 
     20729584     RESP   1825 
     20729592     RESP   1852 
     20729600     RESP   1880 
     20729608     RESP   1908 
     20729616     RESP   1938 
     20729624     RESP   1968 
     20729632     RESP   1998 
     20729640     RESP   2029 
     20729648     RESP   2059 
     20729656     RESP   2092 
     20729664     RESP   2124 
     20729672     RESP   2155 
     20729680     RESP   2188 
     20729688     RESP   2220 
     20729696     RESP   2252 
     20729704     RESP   2285 
     20729712     RESP   2317 
     20729720     RESP   2350 
     20729728     RESP   2382 
     20729736     RESP   2413 
     20729744     RESP   2443 
     20729752     RESP   2473 
     20729760     RESP   2502 
     20729768     RESP   2531 
     20729776     RESP   2559 
     20729784     RESP   2585 
     20729792     RESP   2610 
     20729800     RESP   2635 
     20729808     RESP   2659 
     20729816     RESP   2681 
     20729824     RESP   2704 
     20729832     RESP   2727 
     20729840     RESP   2748 
     20729848     RESP   2769 
     20729856     RESP   2788 
     20729864     RESP   2805 
     20729872     RESP   2820 
     20729880     RESP   2832 
     20729888     RESP   2844 
     20729896     RESP   2854 
     20729904     RESP   2862 
     20729912     RESP   2867 
     20729920     RESP   2869 
     20729928     RESP   2869 
     20729936     RESP   2866 
     20729944     RESP   2861 
     20729952     RESP   2854 
     20729960     RESP   2846 
     20729968     RESP   2836 
     20729976     RESP   2827 
     20729984     RESP   2815 
     20729992     RESP   2804 
     20730000     RESP   2792 
     20730008     RESP   2779 
     20730016     RESP   2766 
     20730024     RESP   2754 
     20730032     RESP   2741 
     20730040     RESP   2729 
     20730048     RESP   2717 
     20730056     RESP   2708 
     20730064     RESP   2699 
     20730072     RESP   2689 
     20730080     RESP   2680 
     20730088     RESP   2672 
     20730096     RESP   2664 
     20730104     RESP   2658 
     20730112     RESP   2653 
     20730120     RESP   2650 
     20730128     RESP   2648 
     20730136     RESP   2647 
     20730144     RESP   2647 
     20730152     RESP   2646 
     20730160     RESP   2646 
     20730168     RESP   2647 
     20730176     RESP   2649 
     20730184     RESP   2651 
     20730192     RESP   2653 
     20730200     RESP   2655 
     20730208     RESP   2656 
     20730216     RESP   2655 
     20730224     RESP   2654 
     20730232     RESP   2652 
     20730240     RESP   2649 
     20730248     RESP   2646 
     20730256     RESP   2643 
     20730264     RESP   2640 
     20730272     RESP   2637 
     20730280     RESP   2633 
     20730288     RESP   2628 
     20730296     RESP   2622 
     20730304     RESP   2617 
     20730312     RESP   2610 
     20730320     RESP   2604 
     20730328     RESP   2596 
     20730336     RESP   2589 
     20730344     RESP   2580 
     20730352     RESP   2569 
     20730360     RESP   2556 
     20730368     RESP   2540 
     20730376     RESP   2524 
     20730384     RESP   2506 
     20730392     RESP   2489 
     20730400     RESP   2471 
     20730408     RESP   2454 
     20730416     RESP   2437 
     20730424     RESP   2419 
     20730432     RESP   2402 
     20730440     RESP   2386 
     20730448     RESP   2370 
     20730456     RESP   2354 
     20730464     RESP   2341 
     20730472     RESP   2330 
     20730480     RESP   2318 
     20730488     RESP   2308 
     20730496     RESP   2296 
     20730504     RESP   2284 
     20730512     RESP   2272 
     20730520     RESP   2259 
     20730528     RESP   2246 
     20730536     RESP   2232 
     20730544     RESP   2218 
     20730552     RESP   2202 
     20730560     RESP   2185 
     20730568     RESP   2167 
     20730576     RESP   2148 
     20730584     RESP   2127 
     20730592     RESP   2106 
     20730600     RESP   2084 
     20730608     RESP   2061 
     20730616     RESP   2039 
     20730624     RESP   2015 
     20730632     RESP   1990 
     20730640     RESP   1964 
     20730648     RESP   1939 
     20730656     RESP   1915 
     20730664     RESP   1892 
     20730672     RESP   1871 
     20730680     RESP   1851 
     20730688     RESP   1833 
     20730696     RESP   1816 
     20730704     RESP   1801 
     20730712     RESP   1788 
     20730720     RESP   1776 
     20730728     RESP   1766 
     20730736     RESP   1757 
     20730744     RESP   1749 
     20730752     RESP   1741 
     20730760     RESP   1733 
     20730768     RESP   1724 
     20730776     RESP   1715 
     20730784     RESP   1705 
     20730792     RESP   1694 
     20730800     RESP   1684 
     20730808     RESP   1673 
     20730816     RESP   1662 
     20730824     RESP   1652 
     20730832     RESP   1641 
     20730840     RESP   1631 
     20730848     RESP   1620 
     20730856     RESP   1608 
     20730864     RESP   1597 
     20730872     RESP   1586 
     20730880     RESP   1575 
     20730888     RESP   1564 
     20730896     RESP   1553 
     20730904     RESP   1540 
     20730912     RESP   1528 
     20730920     RESP   1516 
     20730928     RESP   1505 
     20730936     RESP   1495 
     20730944     RESP   1487 
     20730952     RESP   1482 
     20730960     RESP   1479 
     20730968     RESP   1478 
     20730976     RESP   1479 
     20730984     RESP   1483 
     20730992     RESP   1489 
     20731000     RESP   1498 
     20731008     RESP   1509 
     20731016     RESP   1521 
     20731024     RESP   1535 
